house_id,listing_name,city,property_type,bedrooms,bathrooms,area_size,price,parking,garden,view_quality
HOUSE_MTL_CONDO,Downtown Montreal Condo,Montreal,Condo,2,2,1100,540000,Yes,No,Good
HOUSE_QC_FAMILY,Quebec Family House,Quebec City,Detached house,4,3,2400,620000,Yes,Yes,Good
HOUSE_TORONTO_INVEST,Toronto Urban Townhouse,Toronto,Townhouse,3,2,1500,880000,Yes,No,Basic
HOUSE_VAN_LUX,Vancouver Scenic Villa,Vancouver,Detached house,5,4,3200,1450000,Yes,Yes,Excellent
HOUSE_CALGARY_VALUE,Calgary Value Home,Calgary,Semi-detached,3,2,1800,460000,Yes,Yes,Basic
HOUSE_MTL_FAMILY,Montreal Family Townhouse,Montreal,Townhouse,3,2,1700,590000,Yes,Yes,Good
HOUSE_QC_CONDO,Quebec City River Condo,Quebec City,Condo,2,1,950,395000,No,No,Excellent
HOUSE_TORONTO_COMPACT,Toronto Compact Condo,Toronto,Condo,1,1,700,510000,No,No,Good
NEW_0,Property 0,Toronto,Townhouse,4,3,1500,371219,Yes,No,Good
NEW_1,Property 1,Montreal,Townhouse,1,2,1700,395733,Yes,No,Good
NEW_2,Property 2,Toronto,Townhouse,3,2,1500,1013373,Yes,Yes,Good
NEW_3,Property 3,Toronto,Townhouse,5,1,1500,1064980,Yes,No,Basic
NEW_4,Property 4,Montreal,Townhouse,4,2,1700,1438086,Yes,No,Basic
NEW_5,Property 5,Toronto,Condo,3,1,700,1460808,No,No,Basic
NEW_6,Property 6,Quebec City,Condo,2,2,950,390407,No,Yes,Basic
NEW_7,Property 7,Calgary,Semi-detached,4,1,1800,1206269,Yes,No,Excellent
NEW_8,Property 8,Montreal,Townhouse,4,2,1700,125862,Yes,Yes,Excellent
NEW_9,Property 9,Quebec City,Condo,2,1,950,1229246,No,Yes,Basic
NEW_10,Property 10,Montreal,Townhouse,1,2,1700,236833,Yes,Yes,Basic
NEW_11,Property 11,Toronto,Townhouse,5,1,1500,1231058,Yes,Yes,Excellent
NEW_12,Property 12,Quebec City,Condo,2,1,950,218114,No,No,Excellent
