pizza_id,name,style,ingredient,dietary_tag,price,customer_rating,free_delivery,size
MARGHERITA,Margherita,Italian,Cheese,Vegetarian,18.0,4.3,Yes,
PEPPERONI,Pepperoni,American,Pepperoni,,22.0,4.6,No,
VEGGIE,Veggie Supreme,American,Vegetables,Vegetarian,20.0,4.4,Yes,
CHICKEN_DELUXE,Chicken Deluxe,American,Chicken,,26.0,4.7,No,
MUSHROOM_TRUFFLE,Mushroom Truffle,Italian,Mushrooms,Vegetarian,28.0,4.8,Yes,
GLUTEN_FREE_GARDEN,Gluten-Free Garden,Italian,Vegetables,Gluten-free,31.0,4.5,No,
VEGAN_CLASSIC,Vegan Classic,Italian,Vegetables,Vegan,24.0,4.2,Yes,
DAIRY_FREE_CHICKEN,Dairy-Free Chicken,American,Chicken,Dairy-free,29.0,4.4,Yes,
NEW_0,Mediterranean,American,Chicken,,15.37,4.9,No,Small
NEW_1,Mexican Fiesta,Italian,Vegetables,Vegan,17.64,3.6,No,Medium
NEW_2,Buffalo Chicken,Italian,Cheese,Vegetarian,17.33,3.8,Yes,Small
NEW_3,Mediterranean,Italian,Vegetables,Vegan,16.96,4.8,Yes,Medium
NEW_4,Hawaiian,Italian,Vegetables,Vegan,10.47,4.5,Yes,Large
NEW_5,BBQ Chicken,American,Vegetables,Vegetarian,13.64,4.1,Yes,Medium
NEW_6,Seafood,American,Chicken,,17.2,4.5,No,Small
NEW_7,Four Cheese,Italian,Mushrooms,Vegetarian,15.16,4.5,No,Small
NEW_8,Mexican Fiesta,Italian,Vegetables,Vegan,15.48,3.5,Yes,Small
NEW_9,Hawaiian,American,Vegetables,Vegetarian,23.08,4.3,Yes,Small
NEW_10,Mexican Fiesta,Italian,Vegetables,Gluten-free,11.0,3.7,No,Small
NEW_11,Spicy Beef,Italian,Cheese,Vegetarian,24.31,4.5,No,Medium
NEW_12,Hawaiian,American,Vegetables,Vegetarian,20.4,4.3,Yes,Large
NEW_13,Mediterranean,American,Chicken,,9.24,4.6,Yes,Medium
NEW_14,BBQ Chicken,Italian,Vegetables,Gluten-free,21.95,4.8,Yes,Small
NEW_15,Seafood,American,Chicken,,12.24,4.2,Yes,Large
NEW_16,Mediterranean,Italian,Mushrooms,Vegetarian,23.59,3.9,No,Medium
NEW_17,Four Cheese,Italian,Vegetables,Vegan,9.75,5.0,Yes,Large
